<happenedOnDate>	b
<startedOnDate>	s
<endedOnDate>	e
<wasCreatedOnDate>	s
<diedOnDate>	e
<wasBornOnDate>	s
<wasDestroyedOnDate>	e
<startsExistingOnDate>	s
<endsExistingOnDate>	e
